"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
12,"F12_JPLL_A2_Q4_wt",2018,4,117.904,140.316,116.316,123.911,155.427
12,"F12_JPLL_A2_Q4_wt",2019,4,98.149,109.11,93.444,101.746,115.152
12,"F12_JPLL_A2_Q4_wt",2020,4,93.766,103.612,90.47,96.867,108.93
12,"F12_JPLL_A2_Q4_wt",2021,4,96.017,96.009,103.099,95.529,95.329
12,"F12_JPLL_A2_Q4_wt",2022,4,51.657,51.023,50.954,51.894,50.548
12,"F12_JPLL_A2_Q4_wt",2023,4,36.489,35.842,36.212,36.617,35.303
12,"F12_JPLL_A2_Q4_wt",2024,4,58.306,49.627,56.902,53.565,47.898
17,"F17_JPLL_A4_num",1995,3,62.403,65.494,62.82,66.991,64.198
17,"F17_JPLL_A4_num",1995,4,34.332,34.538,33.944,33.19,35.824
17,"F17_JPLL_A4_num",1996,2,8.585,8.614,8.693,8.657,8.541
17,"F17_JPLL_A4_num",1999,4,32.665,32.824,33.754,33.565,32.265
17,"F17_JPLL_A4_num",2000,1,27.874,31.048,28.49,29.373,32.504
17,"F17_JPLL_A4_num",2000,2,119.726,155.041,121.366,128.286,174.537
17,"F17_JPLL_A4_num",2000,4,29.874,33.882,30.349,31.253,36.139
17,"F17_JPLL_A4_num",2001,1,33.616,39.156,34.291,35.207,42.631
17,"F17_JPLL_A4_num",2001,2,37.819,38.92,37.294,37.993,39.298
17,"F17_JPLL_A4_num",2001,3,120.585,139.152,123.907,126.272,149.394
17,"F17_JPLL_A4_num",2001,4,75.489,83.833,78.353,78.559,88.299
17,"F17_JPLL_A4_num",2002,1,41.852,44.747,44.454,43.386,45.841
17,"F17_JPLL_A4_num",2002,2,152.188,144.34,138.454,146.17,142.617
17,"F17_JPLL_A4_num",2002,3,64.726,67.714,71.996,67.434,67.507
17,"F17_JPLL_A4_num",2002,4,141.08,143.563,160.073,146.627,139.565
17,"F17_JPLL_A4_num",2003,1,144.212,150.66,164.783,151.583,147.751
17,"F17_JPLL_A4_num",2003,2,6.753,6.824,6.786,6.78,6.851
17,"F17_JPLL_A4_num",2003,3,26.867,29.053,26.634,27.481,30.176
17,"F17_JPLL_A4_num",2004,1,74.142,80.99,76.322,75.055,85.608
17,"F17_JPLL_A4_num",2004,2,17.037,17.052,17.26,16.851,17.23
17,"F17_JPLL_A4_num",2004,3,165.483,186.625,167.387,174.308,193.757
17,"F17_JPLL_A4_num",2005,1,127.793,147.638,128.845,131.963,161.638
17,"F17_JPLL_A4_num",2005,2,13.083,12.844,13.069,12.94,12.785
17,"F17_JPLL_A4_num",2005,3,129.371,124.489,127.513,124.913,124.293
17,"F17_JPLL_A4_num",2005,4,35.269,40.949,36.276,39.284,41.619
17,"F17_JPLL_A4_num",2006,1,263.876,331.031,282.044,322.434,324.61
17,"F17_JPLL_A4_num",2006,2,38.233,42.321,39.454,41.466,42.415
17,"F17_JPLL_A4_num",2006,3,90.703,92.475,91.021,92.596,91.624
17,"F17_JPLL_A4_num",2006,4,88.38,92.663,88.867,91.774,92.588
17,"F17_JPLL_A4_num",2007,1,80.014,83.082,81.466,83.443,81.892
17,"F17_JPLL_A4_num",2007,2,25.929,26.558,26.205,26.462,26.524
17,"F17_JPLL_A4_num",2007,3,103.476,104.897,103.347,104.162,106.074
17,"F17_JPLL_A4_num",2008,1,50.621,56.533,53.222,55.314,56.708
17,"F17_JPLL_A4_num",2008,2,34.092,34.825,34.454,34.365,35.009
17,"F17_JPLL_A4_num",2008,3,68.715,68.9,69.867,67.634,69.543
17,"F17_JPLL_A4_num",2008,4,101.431,101.617,105.729,99.621,101.913
17,"F17_JPLL_A4_num",2009,1,50.825,51.775,51.989,51.16,51.77
