"Fleet","Fleet_Name","Yr","Seas","base_F26","F1_F20","F20_F24","F20_F26","F26_F34"
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,125.201,122.256,127.645,126.101
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,242.151,244.644,241.635,242.053
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.33,16.462,16.281,16.318
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,252.718,245.16,255.886,252.001
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,87.122,88.381,86.966,87.34
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,100.945,98.567,102.172,100.946
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,89.977,95.205,88.39,90.22
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,68.024,66.723,68.459,67.915
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,161.748,161.511,162.428,161.948
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,522.449,544.576,519.423,525.12
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,91.4,95.011,90.582,91.688
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,79.392,75.609,80.735,79.178
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,403.163,409.765,398.877,402.734
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,389.115,397.005,388.19,391.117
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,141.907,144.542,141.224,142.092
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,271.079,257.532,275.757,270.196
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,141.819,152.907,138.628,142.323
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,164.278,163.136,164.548,164.228
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,134.303,140.267,132.941,134.75
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,232.906,249.819,228.679,234.154
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,33.901,33.937,33.816,33.854
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,108.45,109.333,107.891,108.299
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,21.725,22.683,21.415,21.756
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,51.219,49.961,51.696,51.223
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,166.994,172.17,166.601,168.52
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,96.515,97.221,96.3,96.745
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,73.674,74.817,73.211,73.63
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,144.085,144.412,143.692,143.879
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,69.76,69.233,70.086,69.744
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,155.573,155.633,155.912,155.593
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,91.658,92.02,91.69,91.703
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,62.58,63.313,62.066,62.53
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,98.552,98.96,98.858,98.655
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,166.754,169.865,163.972,166.42
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,1214.88,1249.91,1207.64,1214.99
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,256.075,258.608,253.503,255.684
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,223.357,230.514,219.407,222.896
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,182.94,181.907,184.198,183.15
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,206.628,209.538,204.814,206.456
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,223.152,226.844,220.169,222.909
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,249.534,251.296,249.768,249.623
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,256.327,260.123,254.83,256.274
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,136.069,136.143,136.748,136.19
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.339,9.335,9.346,9.339
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,42.747,43.198,42.472,42.709
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,55.568,57.36,54.862,55.554
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,20.866,21.087,20.832,20.874
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,148.503,147.477,148.588,148.564
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,48.676,44.496,45.934,44.34
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,41.324,40.779,40.258,41.356
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,49.175,52.278,51.958,51.638
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,62.075,62.441,62.785,62.313
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,161.67,171.597,159.631,162.783
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,106.102,106.912,105.891,106.194
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,42.715,43.983,42.26,42.677
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,69.259,69.954,68.933,69.186
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,46.679,46.35,46.778,46.677
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,267.763,265.306,268.797,267.623
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,68.376,67.822,68.592,68.386
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,317.916,313.255,319.109,318.31
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,269.66,282.173,265.265,269.341
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,82.062,80.963,82.703,82.161
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,260.382,260.265,259.991,260.024
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,56.521,56.036,56.729,56.559
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,47.542,47.53,47.553,47.547
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,291.888,294.844,290.244,291.461
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,126.757,128.776,125.784,126.614
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,138.056,141.068,136.903,137.918
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,112.08,113.15,111.723,112.157
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,140.299,142.456,139.728,140.308
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,109.073,108.941,108.919,109.109
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,103.723,104.388,103.371,103.605
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,95.866,91.666,97.656,96.021
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,51.046,52.91,50.339,51.02
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,35.836,36.679,35.547,35.842
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,49.624,50.496,49.381,49.626
17,"F17_JPLL_A4_num",1995,3,65.494,63.891,66.628,65.471,65.498
17,"F17_JPLL_A4_num",1995,4,34.538,33.098,34.16,34.159,34.535
17,"F17_JPLL_A4_num",1996,2,8.614,8.784,8.641,8.649,8.615
17,"F17_JPLL_A4_num",1999,4,32.824,32.492,32.882,32.951,32.825
17,"F17_JPLL_A4_num",2000,1,31.048,30.502,31.456,31.168,31.051
17,"F17_JPLL_A4_num",2000,2,155.041,154.926,153.681,156.12,155.068
17,"F17_JPLL_A4_num",2000,4,33.882,33.644,34.036,34.017,33.883
17,"F17_JPLL_A4_num",2001,1,39.156,39.13,38.68,39.46,39.158
17,"F17_JPLL_A4_num",2001,2,38.92,38.857,38.742,39.023,38.92
17,"F17_JPLL_A4_num",2001,3,139.152,139.558,135.506,140.718,139.162
17,"F17_JPLL_A4_num",2001,4,83.833,84.076,81.983,84.584,83.84
17,"F17_JPLL_A4_num",2002,1,44.747,44.824,43.432,45.222,44.753
17,"F17_JPLL_A4_num",2002,2,144.34,143.823,149.043,142.846,144.318
17,"F17_JPLL_A4_num",2002,3,67.714,67.787,65.3,68.5,67.729
17,"F17_JPLL_A4_num",2002,4,143.563,143.565,138.605,145.023,143.604
17,"F17_JPLL_A4_num",2003,1,150.66,150.848,145.234,152.246,150.698
17,"F17_JPLL_A4_num",2003,2,6.824,6.826,6.835,6.82,6.823
17,"F17_JPLL_A4_num",2003,3,29.053,29.116,29.653,28.884,29.048
17,"F17_JPLL_A4_num",2004,1,80.99,81.341,83.549,80.26,80.977
17,"F17_JPLL_A4_num",2004,2,17.052,17.076,17.197,17.005,17.052
17,"F17_JPLL_A4_num",2004,3,186.625,186.855,188.57,186.082,186.608
17,"F17_JPLL_A4_num",2005,1,147.638,148.21,151.356,146.706,147.616
17,"F17_JPLL_A4_num",2005,2,12.844,12.848,12.841,12.847,12.844
17,"F17_JPLL_A4_num",2005,3,124.489,124.641,123.266,125.164,124.485
17,"F17_JPLL_A4_num",2005,4,40.949,40.837,41.093,40.853,40.946
17,"F17_JPLL_A4_num",2006,1,331.031,329.444,329.632,330.826,331.028
17,"F17_JPLL_A4_num",2006,2,42.321,42.241,42.38,42.251,42.319
17,"F17_JPLL_A4_num",2006,3,92.475,92.509,91.758,92.852,92.478
17,"F17_JPLL_A4_num",2006,4,92.663,92.673,92.756,92.688,92.665
17,"F17_JPLL_A4_num",2007,1,83.082,83.099,83.191,83.006,83.081
17,"F17_JPLL_A4_num",2007,2,26.558,26.56,26.669,26.505,26.557
17,"F17_JPLL_A4_num",2007,3,104.897,104.749,105.039,104.699,104.896
17,"F17_JPLL_A4_num",2008,1,56.533,56.424,58.844,55.516,56.518
17,"F17_JPLL_A4_num",2008,2,34.825,34.877,35.298,34.635,34.823
17,"F17_JPLL_A4_num",2008,3,68.9,69.09,69.532,68.681,68.893
17,"F17_JPLL_A4_num",2008,4,101.617,102.052,101.34,101.778,101.589
17,"F17_JPLL_A4_num",2009,1,51.775,51.886,52.355,51.552,51.765
17,"F17_JPLL_A4_num",2009,3,74.948,75.013,74.507,75.308,74.948
17,"F17_JPLL_A4_num",2010,1,4.552,4.552,4.553,4.55,4.552
17,"F17_JPLL_A4_num",2010,2,1.813,1.813,1.812,1.814,1.813
17,"F17_JPLL_A4_num",2010,3,16.752,16.791,16.759,16.748,16.75
17,"F17_JPLL_A4_num",2010,4,71.962,72.105,72.754,71.737,71.945
17,"F17_JPLL_A4_num",2011,1,115.397,115.506,115.681,115.394,115.388
17,"F17_JPLL_A4_num",2011,3,100.051,100.554,98.233,100.891,100.035
17,"F17_JPLL_A4_num",2011,4,18.934,18.958,18.695,19.031,18.934
17,"F17_JPLL_A4_num",2012,1,39.139,39.079,39.233,39.078,39.142
17,"F17_JPLL_A4_num",2012,2,15.923,15.909,15.954,15.907,15.923
17,"F17_JPLL_A4_num",2012,3,286.231,286.546,279.384,289.632,286.242
17,"F17_JPLL_A4_num",2012,4,101.927,101.966,100.378,102.631,101.933
17,"F17_JPLL_A4_num",2013,1,9.374,9.383,9.404,9.363,9.373
17,"F17_JPLL_A4_num",2013,2,30.811,30.716,30.819,30.749,30.815
17,"F17_JPLL_A4_num",2013,3,50.881,50.721,50.939,50.761,50.888
17,"F17_JPLL_A4_num",2014,1,5.139,5.143,5.148,5.137,5.139
17,"F17_JPLL_A4_num",2014,2,16.405,16.382,16.418,16.382,16.406
17,"F17_JPLL_A4_num",2014,4,213.224,213.294,210.998,214.211,213.226
17,"F17_JPLL_A4_num",2015,3,132.722,132.225,133.737,132.252,132.722
17,"F17_JPLL_A4_num",2015,4,20.419,20.395,20.588,20.333,20.42
17,"F17_JPLL_A4_num",2016,2,277.121,276.695,277.54,277.145,277.112
17,"F17_JPLL_A4_num",2016,3,166.303,166.747,162.509,168.176,166.3
17,"F17_JPLL_A4_num",2017,3,176.416,176.059,175.679,176.774,176.414
17,"F17_JPLL_A4_num",2017,4,60.09,59.916,61.617,59.466,60.088
17,"F17_JPLL_A4_num",2018,2,60.894,60.919,60.677,60.993,60.894
17,"F17_JPLL_A4_num",2018,3,30.009,29.971,30.638,29.737,30.008
17,"F17_JPLL_A4_num",2019,1,7.072,7.072,7.113,7.053,7.072
17,"F17_JPLL_A4_num",2019,2,16.593,16.586,16.689,16.545,16.593
17,"F17_JPLL_A4_num",2019,3,199.6,199.864,193.609,202.5,199.612
17,"F17_JPLL_A4_num",2019,4,137.037,136.557,139.965,135.544,137.036
17,"F17_JPLL_A4_num",2020,2,12.23,12.218,12.263,12.213,12.23
17,"F17_JPLL_A4_num",2020,3,36.572,36.491,37.129,36.3,36.572
17,"F17_JPLL_A4_num",2023,2,3.315,3.313,3.306,3.317,3.315
17,"F17_JPLL_A4_num",2023,3,10.805,10.788,10.919,10.76,10.805
17,"F17_JPLL_A4_num",2024,1,11.588,11.579,11.624,11.571,11.588
17,"F17_JPLL_A4_num",2024,2,8.357,8.357,8.323,8.37,8.358
18,"F18_JPLL_A5_num",1995,4,65.696,63.829,62.868,65.783,65.698
18,"F18_JPLL_A5_num",2003,4,55.063,54.954,54.572,55.324,55.066
18,"F18_JPLL_A5_num",2004,2,32.237,32.196,32.044,32.357,32.243
18,"F18_JPLL_A5_num",2004,3,31.703,31.674,30.907,32.129,31.703
18,"F18_JPLL_A5_num",2004,4,140.551,140.209,135.168,143.608,140.56
18,"F18_JPLL_A5_num",2005,4,35.587,35.614,36.595,35.056,35.586
18,"F18_JPLL_A5_num",2006,4,41.413,41.334,41.616,41.329,41.403
18,"F18_JPLL_A5_num",2007,4,11.267,11.261,11.055,11.37,11.266
18,"F18_JPLL_A5_num",2008,4,27.774,27.78,27.29,27.996,27.773
18,"F18_JPLL_A5_num",2009,3,29.823,29.877,31.085,29.207,29.822
18,"F18_JPLL_A5_num",2011,3,25.536,25.549,25.403,25.583,25.538
18,"F18_JPLL_A5_num",2011,4,54.608,54.478,52.891,55.591,54.603
