"Fleet","Fleet_Name","Yr","Seas","base2026","F10 and S34","F10 and S37","S36 only"
17,"F17_JPLL_A4_num",2013,3,50.881,51.831,58.904,52.797
17,"F17_JPLL_A4_num",2014,1,5.139,5.062,5.052,5.085
17,"F17_JPLL_A4_num",2014,2,16.405,16.656,17.569,16.814
17,"F17_JPLL_A4_num",2014,4,213.224,207.456,207.002,208.567
17,"F17_JPLL_A4_num",2015,3,132.722,141.586,120.654,136.791
17,"F17_JPLL_A4_num",2015,4,20.419,21.014,20.425,20.977
17,"F17_JPLL_A4_num",2016,2,277.121,276.006,244.655,273.302
17,"F17_JPLL_A4_num",2016,3,166.303,158.879,178.089,159.179
17,"F17_JPLL_A4_num",2017,3,176.416,171.43,172.232,174.396
17,"F17_JPLL_A4_num",2017,4,60.09,59.216,54.887,60.356
17,"F17_JPLL_A4_num",2018,2,60.894,60.74,61.058,60.783
17,"F17_JPLL_A4_num",2018,3,30.009,29.704,28.301,29.961
17,"F17_JPLL_A4_num",2019,1,7.072,7.066,6.978,7.069
17,"F17_JPLL_A4_num",2019,2,16.593,16.557,16.397,16.482
17,"F17_JPLL_A4_num",2019,3,199.6,206.894,216.075,203.67
17,"F17_JPLL_A4_num",2019,4,137.037,127.001,126.048,131.737
17,"F17_JPLL_A4_num",2020,2,12.23,11.983,12.038,12.184
17,"F17_JPLL_A4_num",2020,3,36.572,34.698,35.03,35.974
17,"F17_JPLL_A4_num",2023,2,3.315,3.32,3.271,3.244
17,"F17_JPLL_A4_num",2023,3,10.805,10.993,10.106,10.045
17,"F17_JPLL_A4_num",2024,1,11.588,11.648,11.157,10.946
17,"F17_JPLL_A4_num",2024,2,8.357,8.367,8.293,8.2
18,"F18_JPLL_A5_num",1995,4,65.696,64.959,65.488,62.938
18,"F18_JPLL_A5_num",2003,4,55.063,56.304,55.95,53.004
18,"F18_JPLL_A5_num",2004,2,32.237,32.475,32.456,31.593
18,"F18_JPLL_A5_num",2004,3,31.703,31.731,31.929,31.891
18,"F18_JPLL_A5_num",2004,4,140.551,145.55,142.03,137.924
18,"F18_JPLL_A5_num",2005,4,35.587,35.989,35.413,35.217
18,"F18_JPLL_A5_num",2006,4,41.413,39.391,42.38,39.864
18,"F18_JPLL_A5_num",2007,4,11.267,10.769,11.42,11.174
18,"F18_JPLL_A5_num",2008,4,27.774,27.041,28.45,27.536
18,"F18_JPLL_A5_num",2009,3,29.823,31.342,31.8,29.412
18,"F18_JPLL_A5_num",2011,3,25.536,26.149,25.859,25.924
18,"F18_JPLL_A5_num",2011,4,54.608,51.019,47.099,54.106
19,"F19_JPPL_A35_Q1",2002,1,25.979,26.14,26.067,25.869
19,"F19_JPPL_A35_Q1",2004,1,35.687,35.392,35.784,35.835
19,"F19_JPPL_A35_Q1",2005,1,16.21,17.325,15.723,16.409
19,"F19_JPPL_A35_Q1",2007,1,7.953,7.887,7.902,7.858
19,"F19_JPPL_A35_Q1",2022,1,6.888,7.136,6.874,6.803
19,"F19_JPPL_A35_Q1",2023,1,21.452,21.259,21.343,19.692
20,"F20_JPPL_A35_Q2",1994,2,2.651,2.659,2.654,2.709
20,"F20_JPPL_A35_Q2",1995,2,4.862,4.878,4.885,4.955
20,"F20_JPPL_A35_Q2",1996,2,18.77,18.743,18.826,18.913
20,"F20_JPPL_A35_Q2",1997,2,153.862,152.536,148.583,142.326
20,"F20_JPPL_A35_Q2",1998,2,3.852,3.853,3.865,3.877
20,"F20_JPPL_A35_Q2",1999,2,24.303,24.505,23.832,23.725
20,"F20_JPPL_A35_Q2",2000,2,3.078,3.07,3.104,3.056
20,"F20_JPPL_A35_Q2",2001,2,8.17,8.459,8.209,8.18
20,"F20_JPPL_A35_Q2",2002,2,33.177,33.497,33.286,33.061
20,"F20_JPPL_A35_Q2",2003,2,99.48,96.752,97.423,95.931
20,"F20_JPPL_A35_Q2",2004,2,15.808,15.9,16.011,16.317
20,"F20_JPPL_A35_Q2",2005,2,12.951,11.884,13.056,12.849
20,"F20_JPPL_A35_Q2",2006,2,62.898,72.818,57.428,62.958
20,"F20_JPPL_A35_Q2",2007,2,58.243,49.854,62.372,58.202
20,"F20_JPPL_A35_Q2",2008,2,24.05,23.366,22.518,24.075
20,"F20_JPPL_A35_Q2",2009,2,99.658,102.5,91.785,104.394
20,"F20_JPPL_A35_Q2",2010,2,45.423,45.931,45.462,44.891
20,"F20_JPPL_A35_Q2",2011,2,27.262,26.502,25.694,26.662
20,"F20_JPPL_A35_Q2",2012,2,26.658,27.614,30.214,26.655
20,"F20_JPPL_A35_Q2",2013,2,18.947,19.625,19.541,19.186
20,"F20_JPPL_A35_Q2",2014,2,30.105,30.999,29.72,30.522
20,"F20_JPPL_A35_Q2",2015,2,20.968,21.085,21.059,20.92
20,"F20_JPPL_A35_Q2",2016,2,83.491,80.795,75.512,81.366
20,"F20_JPPL_A35_Q2",2017,2,50.064,50.911,51.124,51.983
20,"F20_JPPL_A35_Q2",2018,2,24.745,25.827,25.034,25.355
20,"F20_JPPL_A35_Q2",2019,2,8.05,8.066,7.298,7.58
20,"F20_JPPL_A35_Q2",2020,2,22.463,22.266,21.72,21.223
20,"F20_JPPL_A35_Q2",2021,2,3.616,3.619,3.609,3.578
20,"F20_JPPL_A35_Q2",2022,2,2.577,2.57,2.57,2.582
20,"F20_JPPL_A35_Q2",2023,2,56.84,56.525,57.248,53.612
20,"F20_JPPL_A35_Q2",2024,2,12.611,11.793,12.253,13.132
21,"F21_JPPL_A35_Q3",1994,3,12.243,12.315,12.166,12.832
