"Fleet","Fleet_Name","Yr","Seas","base2026","cvold=.08","growth est"
17,"F17_JPLL_A4_num",2004,1,80.99,175.221,86.501
17,"F17_JPLL_A4_num",2004,2,17.052,21.259,17.606
17,"F17_JPLL_A4_num",2004,3,186.625,178.254,188.794
17,"F17_JPLL_A4_num",2005,1,147.638,314.169,157.337
17,"F17_JPLL_A4_num",2005,2,12.844,12.633,12.924
17,"F17_JPLL_A4_num",2005,3,124.489,131.643,125.645
17,"F17_JPLL_A4_num",2005,4,40.949,45.416,39.805
17,"F17_JPLL_A4_num",2006,1,331.031,318.72,312.719
17,"F17_JPLL_A4_num",2006,2,42.321,47.343,41.536
17,"F17_JPLL_A4_num",2006,3,92.475,93.749,91.747
17,"F17_JPLL_A4_num",2006,4,92.663,98.686,91.155
17,"F17_JPLL_A4_num",2007,1,83.082,84.27,81.905
17,"F17_JPLL_A4_num",2007,2,26.558,27.586,26.442
17,"F17_JPLL_A4_num",2007,3,104.897,100.314,105.563
17,"F17_JPLL_A4_num",2008,1,56.533,62.845,57.006
17,"F17_JPLL_A4_num",2008,2,34.825,39.948,34.462
17,"F17_JPLL_A4_num",2008,3,68.9,94.164,66.704
17,"F17_JPLL_A4_num",2008,4,101.617,199.951,98.731
17,"F17_JPLL_A4_num",2009,1,51.775,66.563,50.963
17,"F17_JPLL_A4_num",2009,3,74.948,110.137,72.853
17,"F17_JPLL_A4_num",2010,1,4.552,4.336,4.56
17,"F17_JPLL_A4_num",2010,2,1.813,1.767,1.815
17,"F17_JPLL_A4_num",2010,3,16.752,12.938,16.522
17,"F17_JPLL_A4_num",2010,4,71.962,59.291,70.334
17,"F17_JPLL_A4_num",2011,1,115.397,90.461,112.476
17,"F17_JPLL_A4_num",2011,3,100.051,62.454,94.494
17,"F17_JPLL_A4_num",2011,4,18.934,15.88,18.551
17,"F17_JPLL_A4_num",2012,1,39.139,42.695,39.929
17,"F17_JPLL_A4_num",2012,2,15.923,16.454,16.07
17,"F17_JPLL_A4_num",2012,3,286.231,215.539,261.282
17,"F17_JPLL_A4_num",2012,4,101.927,96.309,98.798
17,"F17_JPLL_A4_num",2013,1,9.374,9.64,9.374
17,"F17_JPLL_A4_num",2013,2,30.811,27.417,31.525
17,"F17_JPLL_A4_num",2013,3,50.881,46.273,51.686
17,"F17_JPLL_A4_num",2014,1,5.139,5.079,5.112
17,"F17_JPLL_A4_num",2014,2,16.405,15.899,16.605
17,"F17_JPLL_A4_num",2014,4,213.224,220.836,210.773
17,"F17_JPLL_A4_num",2015,3,132.722,148.042,133.687
17,"F17_JPLL_A4_num",2015,4,20.419,20.653,20.782
17,"F17_JPLL_A4_num",2016,2,277.121,285.187,265.702
17,"F17_JPLL_A4_num",2016,3,166.303,156.12,160.065
17,"F17_JPLL_A4_num",2017,3,176.416,173.206,162.794
17,"F17_JPLL_A4_num",2017,4,60.09,68.579,57.177
17,"F17_JPLL_A4_num",2018,2,60.894,61.725,60.441
17,"F17_JPLL_A4_num",2018,3,30.009,31.875,29.153
17,"F17_JPLL_A4_num",2019,1,7.072,7.132,7.073
17,"F17_JPLL_A4_num",2019,2,16.593,16.291,16.444
17,"F17_JPLL_A4_num",2019,3,199.6,189.447,211.579
17,"F17_JPLL_A4_num",2019,4,137.037,143.972,115.969
17,"F17_JPLL_A4_num",2020,2,12.23,12.377,11.792
17,"F17_JPLL_A4_num",2020,3,36.572,37.064,33.083
17,"F17_JPLL_A4_num",2023,2,3.315,3.253,3.487
17,"F17_JPLL_A4_num",2023,3,10.805,14.763,12.128
17,"F17_JPLL_A4_num",2024,1,11.588,13.941,12.725
17,"F17_JPLL_A4_num",2024,2,8.357,8.669,8.694
18,"F18_JPLL_A5_num",1995,4,65.696,62.44,65.64
18,"F18_JPLL_A5_num",2003,4,55.063,57.087,55.028
18,"F18_JPLL_A5_num",2004,2,32.237,29.498,31.788
18,"F18_JPLL_A5_num",2004,3,31.703,34.353,33.826
18,"F18_JPLL_A5_num",2004,4,140.551,146.503,158.192
18,"F18_JPLL_A5_num",2005,4,35.587,45.63,34.797
18,"F18_JPLL_A5_num",2006,4,41.413,42.195,41.035
18,"F18_JPLL_A5_num",2007,4,11.267,12.394,11.738
18,"F18_JPLL_A5_num",2008,4,27.774,29.131,28.603
18,"F18_JPLL_A5_num",2009,3,29.823,37.437,28.618
18,"F18_JPLL_A5_num",2011,3,25.536,26.117,25.823
18,"F18_JPLL_A5_num",2011,4,54.608,60.771,58.274
19,"F19_JPPL_A35_Q1",2002,1,25.979,17.535,20.655
19,"F19_JPPL_A35_Q1",2004,1,35.687,40.922,48.798
19,"F19_JPPL_A35_Q1",2005,1,16.21,17.949,20.997
19,"F19_JPPL_A35_Q1",2007,1,7.953,11.048,8.384
19,"F19_JPPL_A35_Q1",2022,1,6.888,9.602,6.867
19,"F19_JPPL_A35_Q1",2023,1,21.452,17.526,15.206
20,"F20_JPPL_A35_Q2",1994,2,2.651,2.702,2.625
20,"F20_JPPL_A35_Q2",1995,2,4.862,5.277,4.893
20,"F20_JPPL_A35_Q2",1996,2,18.77,20.78,22.079
20,"F20_JPPL_A35_Q2",1997,2,153.862,72.937,161.635
20,"F20_JPPL_A35_Q2",1998,2,3.852,3.981,3.809
20,"F20_JPPL_A35_Q2",1999,2,24.303,22.976,26.576
20,"F20_JPPL_A35_Q2",2000,2,3.078,3.195,3.117
20,"F20_JPPL_A35_Q2",2001,2,8.17,9.336,8.387
20,"F20_JPPL_A35_Q2",2002,2,33.177,32.75,38.6
20,"F20_JPPL_A35_Q2",2003,2,99.48,53.419,101.716
20,"F20_JPPL_A35_Q2",2004,2,15.808,13.8,16.011
20,"F20_JPPL_A35_Q2",2005,2,12.951,10.447,12.428
20,"F20_JPPL_A35_Q2",2006,2,62.898,50.05,69.49
20,"F20_JPPL_A35_Q2",2007,2,58.243,28.924,62.868
20,"F20_JPPL_A35_Q2",2008,2,24.05,22.933,23.519
20,"F20_JPPL_A35_Q2",2009,2,99.658,139.122,94.57
20,"F20_JPPL_A35_Q2",2010,2,45.423,48.995,45.441
20,"F20_JPPL_A35_Q2",2011,2,27.262,25.393,26.584
20,"F20_JPPL_A35_Q2",2012,2,26.658,28.976,29.219
20,"F20_JPPL_A35_Q2",2013,2,18.947,21.534,22.428
20,"F20_JPPL_A35_Q2",2014,2,30.105,29.078,30.49
20,"F20_JPPL_A35_Q2",2015,2,20.968,19.151,21.898
20,"F20_JPPL_A35_Q2",2016,2,83.491,63.495,85.594
20,"F20_JPPL_A35_Q2",2017,2,50.064,32.277,52.663
20,"F20_JPPL_A35_Q2",2018,2,24.745,18.874,27.62
20,"F20_JPPL_A35_Q2",2019,2,8.05,7.015,8.899
20,"F20_JPPL_A35_Q2",2020,2,22.463,20.629,23.103
20,"F20_JPPL_A35_Q2",2021,2,3.616,3.29,3.623
20,"F20_JPPL_A35_Q2",2022,2,2.577,2.645,2.531
20,"F20_JPPL_A35_Q2",2023,2,56.84,31.359,55.47
20,"F20_JPPL_A35_Q2",2024,2,12.611,12.538,11.984
21,"F21_JPPL_A35_Q3",1994,3,12.243,13.293,13.222
21,"F21_JPPL_A35_Q3",1995,3,24.676,17.234,24.387
21,"F21_JPPL_A35_Q3",1996,3,23.77,23.507,28.111
21,"F21_JPPL_A35_Q3",1997,3,24.177,22.753,30.791
21,"F21_JPPL_A35_Q3",1998,3,11.351,13.519,11.61
21,"F21_JPPL_A35_Q3",1999,3,40.593,48.671,36.731
21,"F21_JPPL_A35_Q3",2000,3,4.374,4.919,4.718
21,"F21_JPPL_A35_Q3",2001,3,45.016,51.216,36.771
21,"F21_JPPL_A35_Q3",2002,3,9.482,11.085,9.209
21,"F21_JPPL_A35_Q3",2003,3,30.576,28.278,30.833
21,"F21_JPPL_A35_Q3",2004,3,7.827,7.392,7.722
21,"F21_JPPL_A35_Q3",2005,3,7.158,8.902,8.104
21,"F21_JPPL_A35_Q3",2006,3,5.658,5.334,5.643
21,"F21_JPPL_A35_Q3",2007,3,17.731,14.41,17.412
21,"F21_JPPL_A35_Q3",2008,3,19.862,22.42,17.409
21,"F21_JPPL_A35_Q3",2009,3,15.544,15.503,14.675
21,"F21_JPPL_A35_Q3",2010,3,4.75,4.965,5.075
21,"F21_JPPL_A35_Q3",2011,3,6.949,6.922,6.712
21,"F21_JPPL_A35_Q3",2012,3,21.642,17.049,22.98
21,"F21_JPPL_A35_Q3",2013,3,3.771,3.784,3.926
21,"F21_JPPL_A35_Q3",2014,3,73.85,44.147,59.209
21,"F21_JPPL_A35_Q3",2015,3,15.878,11.535,16.371
21,"F21_JPPL_A35_Q3",2016,3,15.176,14.279,14.867
21,"F21_JPPL_A35_Q3",2017,3,21.105,12.166,22.776
21,"F21_JPPL_A35_Q3",2018,3,9.844,7.486,11.316
21,"F21_JPPL_A35_Q3",2019,3,8.485,6.251,9.119
21,"F21_JPPL_A35_Q3",2021,3,10.505,9.046,10.228
21,"F21_JPPL_A35_Q3",2023,3,8.357,6.42,7.593
21,"F21_JPPL_A35_Q3",2024,3,22.494,25.22,19.891
22,"F22_JPPL_A35_Q4",1994,4,7.665,7.931,7.4
22,"F22_JPPL_A35_Q4",1995,4,14.14,12.806,9.975
22,"F22_JPPL_A35_Q4",1997,4,4.858,5.222,5.886
22,"F22_JPPL_A35_Q4",2002,4,8.78,7.117,7.766
22,"F22_JPPL_A35_Q4",2003,4,38.113,33.69,26.624
22,"F22_JPPL_A35_Q4",2005,4,8.207,7.711,6.819
22,"F22_JPPL_A35_Q4",2009,4,4.506,4.546,4.328
22,"F22_JPPL_A35_Q4",2019,4,6.357,7.069,8.967
22,"F22_JPPL_A35_Q4",2020,4,1.184,1.238,1.218
23,"F23_JPPL_A24",1994,2,8.88,7.992,9.149
23,"F23_JPPL_A24",1996,2,9.6,8.39,8.909
23,"F23_JPPL_A24",1997,2,7.307,6.32,6.993
23,"F23_JPPL_A24",2002,1,13.542,16.592,13.466
