"Fleet","Fleet_Name","Yr","Seas","base2026","h=0.75","h=0.80","h=0.85"
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,68.391,68.391,68.391
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,318.299,318.299,318.299
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,269.371,269.371,269.371
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,82.144,82.144,82.144
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,260.06,260.06,260.06
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,56.558,56.558,56.558
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,47.546,47.546,47.546
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,291.492,291.492,291.492
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,126.624,126.624,126.624
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,137.931,137.931,137.931
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,112.159,112.159,112.159
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,140.315,140.315,140.315
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,109.11,109.11,109.11
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,103.612,103.612,103.612
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,96.008,96.008,96.008
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,51.023,51.023,51.023
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,35.843,35.843,35.843
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,49.628,49.628,49.628
17,"F17_JPLL_A4_num",1995,3,65.494,65.495,65.495,65.495
17,"F17_JPLL_A4_num",1995,4,34.538,34.538,34.538,34.538
17,"F17_JPLL_A4_num",1996,2,8.614,8.614,8.614,8.614
17,"F17_JPLL_A4_num",1999,4,32.824,32.824,32.824,32.824
17,"F17_JPLL_A4_num",2000,1,31.048,31.048,31.048,31.048
17,"F17_JPLL_A4_num",2000,2,155.041,155.04,155.04,155.04
17,"F17_JPLL_A4_num",2000,4,33.882,33.882,33.882,33.882
17,"F17_JPLL_A4_num",2001,1,39.156,39.155,39.155,39.155
17,"F17_JPLL_A4_num",2001,2,38.92,38.92,38.92,38.92
17,"F17_JPLL_A4_num",2001,3,139.152,139.152,139.152,139.152
17,"F17_JPLL_A4_num",2001,4,83.833,83.833,83.833,83.833
17,"F17_JPLL_A4_num",2002,1,44.747,44.746,44.746,44.746
17,"F17_JPLL_A4_num",2002,2,144.34,144.34,144.34,144.34
17,"F17_JPLL_A4_num",2002,3,67.714,67.714,67.714,67.714
17,"F17_JPLL_A4_num",2002,4,143.563,143.563,143.563,143.563
17,"F17_JPLL_A4_num",2003,1,150.66,150.66,150.66,150.66
17,"F17_JPLL_A4_num",2003,2,6.824,6.824,6.824,6.824
17,"F17_JPLL_A4_num",2003,3,29.053,29.053,29.053,29.053
17,"F17_JPLL_A4_num",2004,1,80.99,80.99,80.99,80.99
17,"F17_JPLL_A4_num",2004,2,17.052,17.052,17.052,17.052
17,"F17_JPLL_A4_num",2004,3,186.625,186.625,186.625,186.625
17,"F17_JPLL_A4_num",2005,1,147.638,147.638,147.638,147.638
17,"F17_JPLL_A4_num",2005,2,12.844,12.844,12.844,12.844
17,"F17_JPLL_A4_num",2005,3,124.489,124.489,124.489,124.489
17,"F17_JPLL_A4_num",2005,4,40.949,40.949,40.949,40.949
17,"F17_JPLL_A4_num",2006,1,331.031,331.032,331.032,331.032
17,"F17_JPLL_A4_num",2006,2,42.321,42.321,42.321,42.321
17,"F17_JPLL_A4_num",2006,3,92.475,92.475,92.475,92.475
17,"F17_JPLL_A4_num",2006,4,92.663,92.663,92.663,92.663
17,"F17_JPLL_A4_num",2007,1,83.082,83.082,83.082,83.082
17,"F17_JPLL_A4_num",2007,2,26.558,26.558,26.558,26.558
17,"F17_JPLL_A4_num",2007,3,104.897,104.897,104.897,104.897
17,"F17_JPLL_A4_num",2008,1,56.533,56.533,56.533,56.533
17,"F17_JPLL_A4_num",2008,2,34.825,34.825,34.825,34.825
17,"F17_JPLL_A4_num",2008,3,68.9,68.9,68.9,68.9
17,"F17_JPLL_A4_num",2008,4,101.617,101.617,101.617,101.617
