"Fleet","Fleet_Name","Yr","Seas","base2026","estM","M=0.3","M=consM_consF"
17,"F17_JPLL_A4_num",2010,3,16.752,16.797,16.554,16.841
17,"F17_JPLL_A4_num",2010,4,71.962,71.666,73.564,72.734
17,"F17_JPLL_A4_num",2011,1,115.397,114.249,115.914,115.783
17,"F17_JPLL_A4_num",2011,3,100.051,97.802,104.908,99.118
17,"F17_JPLL_A4_num",2011,4,18.934,18.427,19.325,18.787
17,"F17_JPLL_A4_num",2012,1,39.139,39.532,38.046,39.232
17,"F17_JPLL_A4_num",2012,2,15.923,16.072,15.622,15.952
17,"F17_JPLL_A4_num",2012,3,286.231,264.801,316.713,279.222
17,"F17_JPLL_A4_num",2012,4,101.927,97.668,107.594,100.5
17,"F17_JPLL_A4_num",2013,1,9.374,9.435,9.351,9.416
17,"F17_JPLL_A4_num",2013,2,30.811,32.035,28.931,30.864
17,"F17_JPLL_A4_num",2013,3,50.881,53.259,47.483,51.02
17,"F17_JPLL_A4_num",2014,1,5.139,5.123,5.155,5.151
17,"F17_JPLL_A4_num",2014,2,16.405,16.776,15.745,16.413
17,"F17_JPLL_A4_num",2014,4,213.224,222.4,211.262,213.982
17,"F17_JPLL_A4_num",2015,3,132.722,138.456,124.999,133.458
17,"F17_JPLL_A4_num",2015,4,20.419,20.288,19.766,20.413
17,"F17_JPLL_A4_num",2016,2,277.121,290.181,266.238,279.734
17,"F17_JPLL_A4_num",2016,3,166.303,167.722,182.31,166.136
17,"F17_JPLL_A4_num",2017,3,176.416,179.533,180.552,177.762
17,"F17_JPLL_A4_num",2017,4,60.09,61.292,57.011,60.954
17,"F17_JPLL_A4_num",2018,2,60.894,60.891,60.781,60.829
17,"F17_JPLL_A4_num",2018,3,30.009,30.332,28.153,30.314
17,"F17_JPLL_A4_num",2019,1,7.072,7.001,7.018,7.076
17,"F17_JPLL_A4_num",2019,2,16.593,16.967,15.891,16.715
17,"F17_JPLL_A4_num",2019,3,199.6,206.239,210.819,197.741
17,"F17_JPLL_A4_num",2019,4,137.037,148.928,116.39,140.906
17,"F17_JPLL_A4_num",2020,2,12.23,12.369,12.078,12.257
17,"F17_JPLL_A4_num",2020,3,36.572,37.88,33.907,36.993
17,"F17_JPLL_A4_num",2023,2,3.315,3.309,3.293,3.302
17,"F17_JPLL_A4_num",2023,3,10.805,11.075,10.537,10.774
17,"F17_JPLL_A4_num",2024,1,11.588,11.8,11.323,11.547
17,"F17_JPLL_A4_num",2024,2,8.357,8.271,8.349,8.318
18,"F18_JPLL_A5_num",1995,4,65.696,61.582,71.922,65.542
18,"F18_JPLL_A5_num",2003,4,55.063,55.627,53.976,55.694
18,"F18_JPLL_A5_num",2004,2,32.237,31.825,32.816,32.405
18,"F18_JPLL_A5_num",2004,3,31.703,32.635,32.183,31.783
18,"F18_JPLL_A5_num",2004,4,140.551,146.432,143.528,141.262
18,"F18_JPLL_A5_num",2005,4,35.587,39.392,32.53,35.944
18,"F18_JPLL_A5_num",2006,4,41.413,40.053,41.76,41.689
18,"F18_JPLL_A5_num",2007,4,11.267,11.682,11.515,11.291
18,"F18_JPLL_A5_num",2008,4,27.774,27.841,28.532,27.753
18,"F18_JPLL_A5_num",2009,3,29.823,28.781,28.838,29.915
18,"F18_JPLL_A5_num",2011,3,25.536,25.991,25.062,25.4
18,"F18_JPLL_A5_num",2011,4,54.608,54.768,58.742,55.087
19,"F19_JPPL_A35_Q1",2002,1,25.979,12.511,29.756,26.093
19,"F19_JPPL_A35_Q1",2004,1,35.687,47.819,27.605,35.373
19,"F19_JPPL_A35_Q1",2005,1,16.21,23.308,14.977,16.204
19,"F19_JPPL_A35_Q1",2007,1,7.953,12.528,7.443,7.927
19,"F19_JPPL_A35_Q1",2022,1,6.888,14.496,7.913,6.946
19,"F19_JPPL_A35_Q1",2023,1,21.452,13.912,19.167,20.87
20,"F20_JPPL_A35_Q2",1994,2,2.651,2.644,2.653,2.658
20,"F20_JPPL_A35_Q2",1995,2,4.862,4.767,4.974,4.866
20,"F20_JPPL_A35_Q2",1996,2,18.77,21.618,18.504,18.896
20,"F20_JPPL_A35_Q2",1997,2,153.862,193.959,131.677,151.001
20,"F20_JPPL_A35_Q2",1998,2,3.852,3.803,3.892,3.854
20,"F20_JPPL_A35_Q2",1999,2,24.303,28.512,21.747,24.162
20,"F20_JPPL_A35_Q2",2000,2,3.078,2.968,3.127,3.094
20,"F20_JPPL_A35_Q2",2001,2,8.17,8.023,8.328,8.22
20,"F20_JPPL_A35_Q2",2002,2,33.177,33.705,33.812,33.597
20,"F20_JPPL_A35_Q2",2003,2,99.48,129.95,87.621,97.831
20,"F20_JPPL_A35_Q2",2004,2,15.808,14.488,16.662,15.9
20,"F20_JPPL_A35_Q2",2005,2,12.951,12.192,13.078,12.992
20,"F20_JPPL_A35_Q2",2006,2,62.898,72.689,57.198,62.479
20,"F20_JPPL_A35_Q2",2007,2,58.243,125.782,33.92,53.874
20,"F20_JPPL_A35_Q2",2008,2,24.05,24.103,23.519,23.899
20,"F20_JPPL_A35_Q2",2009,2,99.658,86.336,106.345,99.808
20,"F20_JPPL_A35_Q2",2010,2,45.423,45.877,44.136,45.206
20,"F20_JPPL_A35_Q2",2011,2,27.262,27.456,26.166,26.98
20,"F20_JPPL_A35_Q2",2012,2,26.658,28.049,26.739,26.844
20,"F20_JPPL_A35_Q2",2013,2,18.947,21.222,19.3,19.236
20,"F20_JPPL_A35_Q2",2014,2,30.105,28.235,31.392,30.325
20,"F20_JPPL_A35_Q2",2015,2,20.968,21.32,20.887,20.963
20,"F20_JPPL_A35_Q2",2016,2,83.491,95.478,74.218,83.209
20,"F20_JPPL_A35_Q2",2017,2,50.064,47.748,51.403,50.3
