"Fleet","Fleet_Name","Yr","Seas","base2023","base2026"
9,"F9_JPLL_A2_Q1_wt",2019,1,NA,126.819
9,"F9_JPLL_A2_Q1_wt",2020,1,NA,24.487
9,"F9_JPLL_A2_Q1_wt",2021,1,NA,39.486
9,"F9_JPLL_A2_Q1_wt",2022,1,NA,309.004
9,"F9_JPLL_A2_Q1_wt",2023,1,NA,32.817
9,"F9_JPLL_A2_Q1_wt",2024,1,NA,56.822
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,NA,31.962
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,NA,126.078
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,NA,242.075
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,NA,16.318
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,NA,251.995
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,NA,87.364
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,NA,100.931
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,NA,90.262
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,NA,67.915
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,NA,161.893
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,NA,525.026
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,NA,91.696
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,NA,79.159
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,NA,402.801
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,NA,391.133
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,NA,142.103
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,NA,270.121
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,NA,142.377
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,NA,164.224
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,NA,134.782
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,NA,234.233
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,NA,33.853
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,NA,108.289
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,NA,21.758
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,NA,51.217
11,"F11_JPLL_A2_Q1_wt_9621",1994,1,65.715,NA
11,"F11_JPLL_A2_Q1_wt_9621",1996,1,50.205,NA
11,"F11_JPLL_A2_Q1_wt_9621",1997,1,38.999,NA
11,"F11_JPLL_A2_Q1_wt_9621",1999,1,57.408,NA
11,"F11_JPLL_A2_Q1_wt_9621",2000,1,49.532,NA
11,"F11_JPLL_A2_Q1_wt_9621",2001,1,184.514,NA
11,"F11_JPLL_A2_Q1_wt_9621",2002,1,311.519,NA
11,"F11_JPLL_A2_Q1_wt_9621",2003,1,169.424,NA
11,"F11_JPLL_A2_Q1_wt_9621",2004,1,56.636,NA
11,"F11_JPLL_A2_Q1_wt_9621",2005,1,74.47,NA
11,"F11_JPLL_A2_Q1_wt_9621",2006,1,95.869,NA
11,"F11_JPLL_A2_Q1_wt_9621",2007,1,47.884,NA
11,"F11_JPLL_A2_Q1_wt_9621",2008,1,154.642,NA
11,"F11_JPLL_A2_Q1_wt_9621",2009,1,92.597,NA
11,"F11_JPLL_A2_Q1_wt_9621",2010,1,434.518,NA
11,"F11_JPLL_A2_Q1_wt_9621",2011,1,122.989,NA
11,"F11_JPLL_A2_Q1_wt_9621",2012,1,60.899,NA
11,"F11_JPLL_A2_Q1_wt_9621",2013,1,286.467,NA
11,"F11_JPLL_A2_Q1_wt_9621",2014,1,54.737,NA
11,"F11_JPLL_A2_Q1_wt_9621",2015,1,83.385,NA
11,"F11_JPLL_A2_Q1_wt_9621",2016,1,103.709,NA
11,"F11_JPLL_A2_Q1_wt_9621",2017,1,85.527,NA
11,"F11_JPLL_A2_Q1_wt_9621",2018,1,128.041,NA
11,"F11_JPLL_A2_Q1_wt_9621",2019,1,108.408,NA
11,"F11_JPLL_A2_Q1_wt_9621",2020,1,23.383,NA
11,"F11_JPLL_A2_Q1_wt_9621",2021,1,47.141,NA
11,"F11_JPLL_A2_Q3_wt",2001,3,NA,168.548
11,"F11_JPLL_A2_Q3_wt",2002,3,NA,96.744
11,"F11_JPLL_A2_Q3_wt",2003,3,NA,73.638
11,"F11_JPLL_A2_Q3_wt",2004,3,NA,143.924
11,"F11_JPLL_A2_Q3_wt",2005,3,NA,69.75
11,"F11_JPLL_A2_Q3_wt",2006,3,NA,155.629
11,"F11_JPLL_A2_Q3_wt",2007,3,NA,91.723
11,"F11_JPLL_A2_Q3_wt",2008,3,NA,62.548
11,"F11_JPLL_A2_Q3_wt",2009,3,NA,98.625
11,"F11_JPLL_A2_Q3_wt",2010,3,NA,166.487
11,"F11_JPLL_A2_Q3_wt",2011,3,NA,1215.13
11,"F11_JPLL_A2_Q3_wt",2012,3,NA,255.722
