"Fleet","Fleet_Name","Yr","Seas","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
17,"F17_JPLL_A4_num",2000,2,155.041,155.555,156.104,153.084,156.375
17,"F17_JPLL_A4_num",2000,4,33.882,34.026,33.997,33.677,34.05
17,"F17_JPLL_A4_num",2001,1,39.156,39.276,39.463,38.603,39.59
17,"F17_JPLL_A4_num",2001,2,38.92,38.965,39.021,38.639,39.038
17,"F17_JPLL_A4_num",2001,3,139.152,139.496,140.802,136.119,141.521
17,"F17_JPLL_A4_num",2001,4,83.833,83.989,84.633,82.468,85.038
17,"F17_JPLL_A4_num",2002,1,44.747,44.849,45.247,43.778,45.506
17,"F17_JPLL_A4_num",2002,2,144.34,144.119,142.719,147.501,141.79
17,"F17_JPLL_A4_num",2002,3,67.714,67.854,68.553,66.052,69.022
17,"F17_JPLL_A4_num",2002,4,143.563,143.826,145.16,140.431,146.133
17,"F17_JPLL_A4_num",2003,1,150.66,150.774,152.402,147.219,153.452
17,"F17_JPLL_A4_num",2003,2,6.824,6.821,6.82,6.834,6.818
17,"F17_JPLL_A4_num",2003,3,29.053,28.99,28.88,29.527,28.786
17,"F17_JPLL_A4_num",2004,1,80.99,80.646,80.235,83.119,79.88
17,"F17_JPLL_A4_num",2004,2,17.052,17.028,17.003,17.18,16.988
17,"F17_JPLL_A4_num",2004,3,186.625,186.387,186.06,188.086,185.629
17,"F17_JPLL_A4_num",2005,1,147.638,147.255,146.613,150.352,146.009
17,"F17_JPLL_A4_num",2005,2,12.844,12.844,12.847,12.844,12.849
17,"F17_JPLL_A4_num",2005,3,124.489,124.804,125.167,123.114,125.39
17,"F17_JPLL_A4_num",2005,4,40.949,40.942,40.861,41.091,40.788
17,"F17_JPLL_A4_num",2006,1,331.031,330.672,331.157,330.935,330.756
17,"F17_JPLL_A4_num",2006,2,42.321,42.289,42.259,42.402,42.229
17,"F17_JPLL_A4_num",2006,3,92.475,92.531,92.908,91.918,92.964
17,"F17_JPLL_A4_num",2006,4,92.663,92.591,92.732,92.861,92.662
17,"F17_JPLL_A4_num",2007,1,83.082,82.941,83.039,83.387,83.022
17,"F17_JPLL_A4_num",2007,2,26.558,26.52,26.507,26.688,26.488
17,"F17_JPLL_A4_num",2007,3,104.897,105.04,104.654,104.729,104.57
17,"F17_JPLL_A4_num",2008,1,56.533,56.182,55.481,58.591,55.191
17,"F17_JPLL_A4_num",2008,2,34.825,34.699,34.632,35.335,34.564
17,"F17_JPLL_A4_num",2008,3,68.9,68.675,68.67,69.676,68.58
17,"F17_JPLL_A4_num",2008,4,101.617,101.364,101.742,101.768,101.779
17,"F17_JPLL_A4_num",2009,1,51.775,51.616,51.538,52.415,51.457
17,"F17_JPLL_A4_num",2009,3,74.948,75.097,75.314,74.547,75.369
17,"F17_JPLL_A4_num",2010,1,4.552,4.55,4.55,4.554,4.55
17,"F17_JPLL_A4_num",2010,2,1.813,1.813,1.814,1.812,1.814
17,"F17_JPLL_A4_num",2010,3,16.752,16.728,16.742,16.795,16.742
17,"F17_JPLL_A4_num",2010,4,71.962,71.848,71.697,72.751,71.548
17,"F17_JPLL_A4_num",2011,1,115.397,115.389,115.366,115.7,115.328
17,"F17_JPLL_A4_num",2011,3,100.051,100.186,100.85,98.864,101.195
17,"F17_JPLL_A4_num",2011,4,18.934,18.958,19.029,18.74,19.067
17,"F17_JPLL_A4_num",2012,1,39.139,39.128,39.085,39.176,39.066
17,"F17_JPLL_A4_num",2012,2,15.923,15.919,15.908,15.939,15.903
17,"F17_JPLL_A4_num",2012,3,286.231,287.927,289.546,280.088,290.528
17,"F17_JPLL_A4_num",2012,4,101.927,102.241,102.623,100.519,102.846
17,"F17_JPLL_A4_num",2013,1,9.374,9.364,9.363,9.411,9.359
17,"F17_JPLL_A4_num",2013,2,30.811,30.82,30.752,30.736,30.736
17,"F17_JPLL_A4_num",2013,3,50.881,50.904,50.763,50.793,50.731
17,"F17_JPLL_A4_num",2014,1,5.139,5.137,5.137,5.152,5.135
17,"F17_JPLL_A4_num",2014,2,16.405,16.402,16.383,16.398,16.381
17,"F17_JPLL_A4_num",2014,4,213.224,213.579,214.213,211.285,214.534
17,"F17_JPLL_A4_num",2015,3,132.722,132.783,132.246,133.061,132.163
17,"F17_JPLL_A4_num",2015,4,20.419,20.391,20.335,20.549,20.317
17,"F17_JPLL_A4_num",2016,2,277.121,277.495,277.113,276.87,277.057
17,"F17_JPLL_A4_num",2016,3,166.303,166.983,168.144,163.288,168.535
17,"F17_JPLL_A4_num",2017,3,176.416,176.865,176.72,175.285,176.597
17,"F17_JPLL_A4_num",2017,4,60.09,59.926,59.451,61.246,59.218
17,"F17_JPLL_A4_num",2018,2,60.894,60.927,60.995,60.727,61.027
17,"F17_JPLL_A4_num",2018,3,30.009,29.902,29.734,30.532,29.646
17,"F17_JPLL_A4_num",2019,1,7.072,7.063,7.053,7.11,7.047
17,"F17_JPLL_A4_num",2019,2,16.593,16.573,16.544,16.674,16.53
17,"F17_JPLL_A4_num",2019,3,199.6,200.863,202.529,194.435,203.493
17,"F17_JPLL_A4_num",2019,4,137.037,136.617,135.534,139.18,135.031
17,"F17_JPLL_A4_num",2020,2,12.23,12.228,12.213,12.247,12.205
17,"F17_JPLL_A4_num",2020,3,36.572,36.493,36.298,36.996,36.2
17,"F17_JPLL_A4_num",2023,2,3.315,3.316,3.317,3.307,3.318
17,"F17_JPLL_A4_num",2023,3,10.805,10.802,10.762,10.892,10.745
17,"F17_JPLL_A4_num",2024,1,11.588,11.588,11.573,11.615,11.571
17,"F17_JPLL_A4_num",2024,2,8.357,8.361,8.371,8.327,8.378
18,"F18_JPLL_A5_num",1995,4,65.696,64.291,65.685,65.544,65.706
18,"F18_JPLL_A5_num",2003,4,55.063,55.179,55.316,54.495,55.511
18,"F18_JPLL_A5_num",2004,2,32.237,32.278,32.354,31.976,32.407
18,"F18_JPLL_A5_num",2004,3,31.703,32.022,32.127,30.66,32.3
18,"F18_JPLL_A5_num",2004,4,140.551,142.508,143.6,133.501,144.753
18,"F18_JPLL_A5_num",2005,4,35.587,35.204,35.053,36.913,34.876
18,"F18_JPLL_A5_num",2006,4,41.413,41.368,41.303,41.508,41.303
18,"F18_JPLL_A5_num",2007,4,11.267,11.326,11.368,11.028,11.408
18,"F18_JPLL_A5_num",2008,4,27.774,27.91,27.996,27.211,28.065
18,"F18_JPLL_A5_num",2009,3,29.823,29.486,29.215,31.254,28.975
18,"F18_JPLL_A5_num",2011,3,25.536,25.538,25.591,25.435,25.608
18,"F18_JPLL_A5_num",2011,4,54.608,55.213,55.573,52.495,55.969
19,"F19_JPPL_A35_Q1",2002,1,25.979,26.604,26.171,26.373,25.934
19,"F19_JPPL_A35_Q1",2004,1,35.687,37.486,30.986,35.009,35.093
19,"F19_JPPL_A35_Q1",2005,1,16.21,16.448,14.878,16.201,15.767
19,"F19_JPPL_A35_Q1",2007,1,7.953,8.004,7.987,7.874,7.977
